CUSTOMER,ITEM,QTY
1000025,6031350,1
1000069,6004865,2
1000107,1204440,1
1000107,1204441,1
1000154,7083089,1
1000158,1061176,10
1000158,1061177,10
1000158,1061178,12
1000158,1061179,14
1000158,1070646,4
1000158,1070647,4
1000242,1212047,2
1000242,1212048,2
1000242,2067169,8
1000253,5307086,10
1000253,6012699,10
1000253,6012702,10
1000269,1063094,7
1000269,1068191,4
1000269,1081529,6
1000269,1085667,2
1000269,1085668,2
1000269,2033362,6
1000269,6035129,1
1000314,1068191,9
1000314,2067169,4
1000316,1024445,6
1000316,1213759,13
1000316,1213760,13
1000316,2016178,1
1000316,2028369,6
1000316,2067169,13
1000316,6035129,1
1000328,1024445,30
1000328,1212056,12
1000328,1212057,12
1000328,1212060,19
1000328,1212061,19
1000328,2016178,30
1000328,2024352,30
1000328,2067169,31
1000328,6035129,2
1000380,2034879,7
1000380,2039857,7
1000480,2016178,20
1000480,2016179,20
1000571,1061176,2
1000571,1061177,2
1000571,2080165,2
1000571,2082101,2
1000642,1056983,3
1000642,1060056,6
1000642,1086266,1
1000642,2034819,3
1000642,5311688,2
1000642,6025615,2
1000642,6035129,3
1000666,1051487,1
1000669,1213719,1
1000669,1213756,1
1000669,2099265,1
1000675,2024352,1
1000675,6021750,1
1000695,6035130,1
1000709,1085669,1
1000709,1085670,1
1000760,2027735,10
1000774,1085898,3
1000774,1085899,1
1000774,1085900,1
1000784,6035136,2
1000808,1213765,4
1000808,1213766,4
1000808,2067169,4
1000816,1027375,2
1000816,1060058,8
1000816,1212051,2
1000816,1212052,2
1000816,2033362,2
1000816,2066603,8
1000838,5309397,5
1000838,5330389,3
1000838,6025612,4
1000838,6025614,3
1000874,6025471,2
1000874,6035131,2
1000980,1061178,2
1000980,1068430,5
1000980,1085899,3
1000980,1212029,1
1000980,1213718,2
1000980,1213743,2
1000980,1213763,1
1000980,1213764,1
1000980,2020214,1
1000980,2066603,8
1000980,2067169,1
1000980,2073711,5
1000980,6025449,1
1000980,6035129,1
1001096,1099012,1
1001096,1213757,1
1001096,1213758,1
1001096,2099265,1
1001096,5311688,1
1001096,5311837,1
1001096,6025470,3
1001096,6025615,1
1001131,1213739,1
1001131,1213755,1
1001131,2067169,1
1001210,6035137,2
1001300,6035137,1
1001302,1085673,1
1001302,1085674,1
1001372,6035423,1
1001372,6035424,4
1001373,1068191,2
1001386,1056985,2
1001386,6035129,1
1001454,1061176,2
1001454,1061177,2
