,CUSTOMER,cluster,Invoice_date,PROVINCE,CUSTYP,TYPDES,ITEM,QTY,price,PERIOD,paytime,sales
0,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1044255,1,706.33,11,2019-11-26,706.33
1,1000022,2,2019-11-27,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1044338,1,1445.26,11,2019-11-27,1445.26
2,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1044680,4,1932.88,11,2019-11-26,7731.52
3,1000022,2,2019-04-23,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1060063,5,781.55,4,2019-04-23,3907.75
4,1000022,2,2019-04-12,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1060063,15,781.55,4,2019-04-12,11723.25
5,1000022,2,2019-07-25,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1060064,4,789.51,7,2019-07-25,3158.04
6,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1060064,10,789.51,11,2019-11-26,7895.1
7,1000022,2,2019-07-25,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1076398,2,22661.2,7,2019-07-25,45322.4
8,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1076398,2,22661.2,11,2019-11-26,45322.4
9,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1212049,1,3062.96,11,2019-11-26,3062.96
10,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",1212050,1,3755.88,11,2019-11-26,3755.88
11,1000022,2,2019-10-14,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",2033415,4,1245.27,10,2019-10-14,4981.08
12,1000022,2,2019-10-14,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",2033416,4,1447.92,10,2019-10-14,5791.68
13,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",2067169,1,668.27,11,2019-11-26,668.27
14,1000022,2,2019-08-07,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",2074797,2,906.33,8,2019-08-07,1812.66
15,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",2074797,2,906.33,11,2019-11-26,1812.66
16,1000022,2,2019-07-25,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",5311684,2,650.58,7,2019-07-25,1301.16
17,1000022,2,2019-08-07,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",5311684,2,650.58,8,2019-08-07,1301.16
18,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",5311684,4,650.58,11,2019-11-26,2602.32
19,1000022,2,2019-07-25,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",6025622,4,690.4,7,2019-07-25,2761.6
20,1000022,2,2019-11-26,SH,30,"System integrator / EPC (Engineering, Procurement, Construct",6025622,4,690.4,11,2019-11-26,2761.6
21,1000023,2,2019-07-04,GD,10,OEM,1024445,2,18717.83,7,2019-07-04,37435.66
22,1000023,2,2019-04-18,GD,10,OEM,1047717,2,785.98,4,2019-04-18,1571.96
23,1000023,2,2019-09-17,GD,10,OEM,1090047,5,17811.64,9,2019-09-17,89058.2
24,1000023,2,2019-11-19,GD,10,OEM,1090047,2,17811.64,11,2019-11-19,35623.28
25,1000023,2,2019-04-29,GD,10,OEM,1102165,1,148831.29,4,2019-04-29,148831.29
26,1000023,2,2019-11-19,GD,10,OEM,1212028,1,3902.79,11,2019-11-19,3902.79
27,1000023,2,2019-11-19,GD,10,OEM,1212029,1,4517.83,11,2019-11-19,4517.83
28,1000023,2,2019-11-19,GD,10,OEM,1212033,1,5389.51,11,2019-11-19,5389.51
29,1000023,2,2019-11-19,GD,10,OEM,1212034,1,6005.44,11,2019-11-19,6005.44
30,1000023,2,2019-09-17,GD,10,OEM,1212037,5,5507.21,9,2019-09-17,27536.05
31,1000023,2,2019-11-19,GD,10,OEM,1212037,4,5507.21,11,2019-11-19,22028.84
32,1000023,2,2019-09-17,GD,10,OEM,1212038,5,6031.11,9,2019-09-17,30155.55
33,1000023,2,2019-11-19,GD,10,OEM,1212038,4,6031.11,11,2019-11-19,24124.44
34,1000023,2,2019-07-04,GD,10,OEM,1212060,2,4480.67,7,2019-07-04,8961.34
35,1000023,2,2019-07-04,GD,10,OEM,1212061,2,5018.72,7,2019-07-04,10037.44
36,1000023,2,2019-07-04,GD,10,OEM,2027726,2,1139.96,7,2019-07-04,2279.92
37,1000023,2,2019-07-04,GD,10,OEM,2028369,1,1378.89,7,2019-07-04,1378.89
38,1000023,2,2019-07-04,GD,10,OEM,2067169,4,668.28,7,2019-07-04,2673.12
39,1000023,2,2019-11-19,GD,10,OEM,2067169,6,653.23,11,2019-11-19,3919.38
40,1000023,2,2019-09-17,GD,10,OEM,2067169,5,668.27,9,2019-09-17,3341.35
41,1000023,2,2019-04-16,GD,10,OEM,2074406,5,801.9,4,2019-04-16,4009.5
42,1000023,2,2019-11-19,GD,10,OEM,2074406,2,774.47,11,2019-11-19,1548.94
43,1000023,2,2019-11-19,GD,10,OEM,2074407,2,899.25,11,2019-11-19,1798.5
44,1000023,2,2019-11-19,GD,10,OEM,2102275,1,3740.84,11,2019-11-19,3740.84
45,1000023,2,2019-07-04,GD,10,OEM,6035129,1,1011.64,7,2019-07-04,1011.64
46,1000023,2,2019-09-17,GD,10,OEM,6054121,2,578.9,9,2019-09-17,1157.8
47,1000023,2,2019-11-19,GD,10,OEM,6054121,1,576.24,11,2019-11-19,576.24
48,1000025,1,2019-01-18,GD,20,Enduser,6031350,1,580.0,1,2019-01-18,580.0
49,1000026,2,2019-09-25,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1019973,1,1512.52,9,2019-09-25,1512.52
50,1000026,2,2019-03-21,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060058,8,710.17,3,2019-03-21,5681.36
51,1000026,2,2019-04-12,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060058,10,709.87,4,2019-04-12,7098.7
52,1000026,2,2019-07-22,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060058,4,709.87,7,2019-07-22,2839.48
