,CUSTOMER,cluster
0,1000022,2
1,1000023,2
2,1000025,1
3,1000026,2
4,1000033,2
5,1000040,2
6,1000045,2
7,1000048,2
8,1000069,1
9,1000070,2
10,1000091,2
11,1000107,1
12,1000117,2
13,1000131,2
14,1000140,2
15,1000141,2
16,1000154,1
17,1000158,1
18,1000163,2
19,1000168,2
20,1000173,2
21,1000178,2
22,1000185,2
23,1000208,2
24,1000227,2
25,1000230,2
26,1000231,2
27,1000242,1
28,1000245,2
29,1000253,1
30,1000264,2
31,1000269,1
32,1000291,2
33,1000292,2
34,1000299,2
35,1000300,2
36,1000314,1
37,1000316,1
38,1000328,1
39,1000340,2
40,1000346,2
41,1000380,1
42,1000409,2
43,1000436,2
44,1000445,2
45,1000454,2
46,1000480,1
47,1000481,2
48,1000493,2
49,1000513,0
50,1000515,2
51,1000517,2
52,1000519,2
53,1000533,2
54,1000544,2
55,1000556,2
56,1000571,1
57,1000589,2
58,1000599,2
59,1000600,2
60,1000601,2
61,1000614,0
62,1000637,2
63,1000642,1
64,1000657,2
65,1000662,2
66,1000663,2
67,1000666,1
68,1000669,1
69,1000675,1
70,1000676,2
71,1000679,2
72,1000694,2
73,1000695,1
74,1000708,2
75,1000709,1
76,1000714,2
77,1000734,2
78,1000746,2
79,1000753,2
80,1000760,1
81,1000764,2
82,1000774,1
83,1000784,1
84,1000806,2
85,1000808,1
86,1000810,2
87,1000816,1
88,1000821,2
89,1000824,2
90,1000837,2
91,1000838,1
92,1000860,0
93,1000861,2
94,1000870,2
95,1000874,1
96,1000876,2
97,1000890,2
98,1000914,2
99,1000957,2
100,1000966,2
101,1000978,2
102,1000980,1
103,1001019,2
104,1001024,2
105,1001026,2
106,1001031,2
107,1001045,2
108,1001049,2
109,1001051,2
110,1001057,2
111,1001087,2
112,1001096,1
113,1001099,2
114,1001112,2
115,1001118,2
116,1001131,1
117,1001134,2
118,1001150,2
119,1001152,2
120,1001164,2
121,1001166,2
122,1001210,1
123,1001214,2
124,1001224,2
125,1001234,0
126,1001245,2
127,1001254,2
128,1001264,2
129,1001284,2
130,1001287,2
131,1001300,1
132,1001302,1
133,1001315,2
134,1001321,2
135,1001340,2
136,1001342,2
137,1001363,2
138,1001368,2
139,1001372,1
140,1001373,1
141,1001386,1
142,1001421,2
143,1001454,1
144,1001458,1
145,1001460,0
146,1001464,2
147,1001471,2
148,1001481,2
149,1001483,1
150,1001492,1
151,1001504,2
152,1001518,2
153,1001520,1
154,1001536,2
155,1001557,1
156,1001573,1
157,1001594,1
158,1001600,0
159,1001603,1
160,1001604,1
161,1001611,1
162,1001616,1
163,1001629,2
164,1001635,2
165,1001640,1
166,1001644,1
167,1001668,2
168,1001673,2
169,1001684,2
170,1001686,1
171,1001695,2
172,1001699,0
173,1001731,2
174,1001746,1
175,1001757,2
176,1001771,1
177,1001772,1
178,1001778,1
179,1001788,1
180,1001797,2
181,1001800,1
182,1001806,2
183,1001809,2
